comment,prediction,good_sim,bad_sim
"Communication from the administration is adequate, though sometimes delayed.",good,0.13901278,0.11705129
The curriculum was very comprehensive and well-rounded.,good,0.011831992,0.008354577
Internship opportunities are scarce and poorly managed.,bad,0.017751738,0.1227179
The faculty were very engaged and enthusiastic about teaching.,good,0.088462695,0.0015573871
The campus environment was very conducive to learning.,bad,-0.004088284,0.053471178
"Career services are available, but students need to actively participate to benefit.",good,0.044052273,-0.06112507
The program's emphasis on research was very valuable.,good,0.10806196,0.020436887
The program provided a lot of real-world experience.,good,0.16384432,0.1028979
The balance between theory and practice was excellent.,good,0.23738039,0.11627041
Some of the course content felt a bit outdated.,bad,0.040760186,0.15326233
The program provided a lot of opportunities for professional development.,good,0.15691768,0.031590585
Administrative staff are unhelpful and rude.,bad,-0.02483379,0.19224489
The curriculum was very challenging but manageable.,bad,-0.017305221,0.15942295
There is little to no career support or guidance provided.,bad,0.02711295,0.108032696
I felt that some of the courses were redundant.,bad,0.0325614,0.13095379
I appreciated the diverse range of topics covered.,good,0.14769338,0.04510718
The program's focus on innovation and creativity was inspiring.,good,0.11111827,0.023047162
I was impressed by the modern facilities and resources available.,good,0.21211287,0.089485176
The collaborative projects helped me develop teamwork skills.,good,0.17591473,-0.023087442
The faculty's dedication to teaching was very evident.,good,0.13913128,0.03896307
"The program has a diverse student body, though interactions depend on individual effort.",good,0.056146845,0.0013427595
The program's focus on teamwork and collaboration was very helpful.,good,0.24224599,0.026984967
The program's emphasis on critical thinking was very beneficial.,good,0.08100357,0.040834066
The program's emphasis on ethics and integrity was very important.,good,0.032535277,0.029782295
The program's focus on sustainability was very forward-thinking.,good,0.070200026,0.027153092
I found the program to be very fulfilling and enriching.,good,0.26156238,0.061972607
The program's holistic approach to education was very effective.,good,0.12606078,0.043284096
"The online portal is constantly down or slow, making it hard to access course materials.",bad,0.100266606,0.1247771
The program's emphasis on practical experience was very beneficial.,good,0.15128845,0.052769575
The program included a lot of collaborative projects.,good,0.18128738,0.05884838
The program offered a good balance between coursework and practical experience.,good,0.16166523,0.022803942
I appreciated the emphasis on both theory and practice.,good,0.23989077,0.07843119
The program's collaborative environment was very productive.,good,0.18450168,0.107254826
The program's curriculum was very comprehensive and well-rounded.,good,0.047573112,-0.0043706964
I would highly recommend this program to others.,good,0.33928183,0.14069225
The program offered a lot of hands-on learning opportunities.,good,0.19087635,0.06872289
The program's focus on innovation was very motivating.,good,0.07015283,0.027888374
The program offered unique specializations that matched my interests.,good,0.1876287,0.05114531
"The academic advising system is in place, but it's important to be proactive.",good,0.09930316,0.018683244
The study abroad options were a fantastic opportunity.,good,0.106875,0.043742787
There is a lack of transparency in the program's policies and procedures.,bad,-0.07398202,0.118519075
I felt very well-prepared for my future career.,good,0.27882418,0.1043997
There was a strong emphasis on interdisciplinary learning.,good,0.0835322,0.045905557
The support services available to students were excellent.,good,0.16560885,0.04276231
The curriculum was very up-to-date with current trends.,bad,0.036112178,0.065169945
The online resources provided were very useful.,good,0.14129719,-0.0036340184
I felt very supported by the faculty and staff.,good,0.22141561,0.12852722
I felt well-prepared for the job market after graduation.,good,0.21489798,0.10973103
The program's integration of practical experience was very beneficial.,good,0.17218702,0.015406748
The faculty were very knowledgeable and provided a lot of support.,good,0.04466254,0.023030652
There were ample opportunities for research and development.,good,0.033072103,-0.06746959
The program's focus on leadership development was very beneficial.,good,0.09225507,0.039695196
I was able to apply what I learned in the classroom to real-world situations.,good,0.122657396,0.028038315
The extracurricular activities and clubs were a great way to connect with peers.,good,0.081285976,0.017785424
The faculty were very accessible outside of class.,bad,-0.0016919196,0.047313176
The program's approach to interdisciplinary learning was very effective.,good,0.11455963,0.005498866
The community within the program was very supportive and inclusive.,good,0.15979816,-0.0021176017
The faculty were very approachable and supportive.,good,0.11289975,0.045709644
The program's reputation in the industry is well-deserved.,good,0.20279409,0.18950333
I appreciated the program's emphasis on ethical considerations.,bad,0.18604356,0.18671398
